386.95,40.149,31.579,86.316
381.99,41.067,32.413,88.942
376.32,42.393,34.533,90.814
370.11,43.981,37.363,91.528
363.13,46.333,43.904,91.378
355.37,48.57,48.947,91.228
347.69,49.553,41.447,92.428
338,50.675,33.947,94.737
320.7,54.184,56.121,97.544
313.53,54.503,61.267,101.44
315.11,56.991,54.474,103.16
308.48,55.237,45.636,104.28
296.95,53.482,40.263,105.26
286.76,58.46,46.232,106.1
275.63,64.009,56.842,107.37
263,64.711,67.105,112.98
247.12,66.114,61.669,115.12
230.63,69.085,65.32,117.63
214.19,72.746,72.101,120.57
199.84,74.535,75.752,124.46
188.79,73.833,72.632,131.23
172.21,75.237,63.947,136.84
158.79,80.149,64.737,141.75
138.26,91.377,83.684,136.84
127.21,108.92,82.895,128.42
104.94,111.38,52.27,85.263
77.474,111.73,68.684,96.14
43.526,104.01,86.842,120
27.737,125.06,86.842,65.263
11.158,130.68,84.474,126.32
13.022,136.53,72.608,133.61
16.684,147.52,54.851,135.97
21.421,233.13,38.626,58.48
21.289,263.31,20,35.088
