68.219,227.96,93.729,61.307
71.367,223.98,95.26,68.538
79.053,218.39,95.479,80.083
98.789,210.68,82.895,97.544
86.947,202.96,94.737,138.95
98,191.73,98.684,179.65
113,171.38,96.316,201.4
124.24,162.48,85.077,219.42
138.26,156.78,75.789,240.56
144.12,154.06,74.879,238.59
158,154.73,84.474,235.1
167.48,155.94,89.023,230.41
175.44,157.08,114.4,215
180.89,162.96,101.05,205.61
204.45,165.36,120.92,198.16
251.04,166.36,101.85,192.24
270.89,162.25,102.63,197.74
278.23,152.94,119.77,205.8
308.79,153.83,105,197.19
344.32,155.94,104.21,198.6
371.95,156.64,103.42,224.56
370.65,167.17,133.14,232.65
383,181.9,150.79,226.67
407.85,197.34,151.99,213.33
458.79,205.76,134.21,207.02
458.79,210.68,165,219.65
461.16,221.91,189.47,245.61
472.21,229.62,217.11,241.4
513.79,239.05,195.06,236.21
551.16,252.63,169.34,227.87
556.31,292.13,164.19,188.37
559.84,322.96,160.66,157.54
