532.21,52.781,34.737,88.421
533.79,52.781,33.158,88.421
535.79,53.436,34.105,89.076
537.79,54.091,35.053,89.731
539.79,54.746,36,90.386
541.79,55.401,36.947,91.041
543.79,56.056,37.895,91.696
545.79,56.711,38.842,92.351
547.79,57.365,39.789,93.006
550.63,58.395,40.684,93.848
554.32,59.798,41.526,94.877
558,61.202,42.368,95.906
561.68,62.605,43.211,96.936
565.37,64.009,44.053,97.965
569.05,65.412,44.895,98.994
572.74,66.816,45.737,100.02
576.42,68.219,46.579,101.05
580.42,68.271,48.443,104.21
584.42,68.414,50.112,107.1
588.42,68.636,51.541,109.69
592.42,68.921,52.684,111.95
596.42,69.571,53.623,113.94
600.42,70.765,54.43,115.72
604.42,72.299,55.045,117.25
607.95,73.412,55.895,118.92
611,73.974,57.158,120.98
614.05,74.535,58.421,123.04
617.11,75.096,59.684,125.1
620.16,75.658,60.947,127.16
623.21,76.219,62.211,129.22
626.26,76.781,63.474,131.27
629.32,77.342,64.737,133.33
630.26,77.342,65.158,134.18
631.21,77.342,65.579,135.02
632.16,77.342,66,135.86
633.11,77.342,66.421,136.7
634.05,77.342,66.842,137.54
635,77.342,67.263,138.39
635.95,77.342,67.684,139.23
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
636.42,77.342,67.895,139.65
